Designator,Mid X,Mid Y,Rotation,Layer
BT1,62.65,-113.9,90.0,top
BT2,81.95,-113.9,90.0,top
J1,117.368,-36.477,0.0,top
J2,120.973,-63.107,0.0,top
J3,98.56,-135.3,180.0,top
J4,191.123,-115.157,-90.0,top
J5,159.773,-85.507,180.0,top
J6,113.428,-36.002,-90.0,top
J7,70.635,-140.42,180.0,top
SW1,95.665,-140.525,180.0,top
