"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C402,C505,C507,C506,C602,C504,C608,C603,C606,C301,C305,C604,C501,C503,C401,C607,C601,C508,C303,C605,C502";"C_0805_2012Metric";21;"0.1uF";;;
2;"C306,C302,C304,C307";"C_0805_2012Metric";4;"1uF";;;
3;"U302";"AMS_LGA-20_4.7x4.5mm_P0.65mm";1;"AS72652";;;
4;"D606,D504,D508,D502,D506,D608,D507,D603,D501,D602,D503,D604,D601,D505,D607,D605";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";16;"WS2812B";;;
5;"U304";"SOIC-8_3.9x4.9mm_P1.27mm";1;"AT25SF041B-SSHD-B";;;
6;"R301,R202,R302,R305,R304,R306,R201,R303";"R_0805_2012Metric";8;"10k";;;
7;"U401";"WSOF6";1;"BH1730";;;
8;"U301";"AMS_LGA-20_4.7x4.5mm_P0.65mm";1;"AS72651";;;
9;"U303";"AMS_LGA-20_4.7x4.5mm_P0.65mm";1;"AS72653";;;
