Designator,Footprint,Quantity,Value,LCSC Part #
"C301, C303, C305, C401, C402, C501, C502, C503, C504, C505, C506, C507, C508, C601, C602, C603, C604, C605, C606, C607, C608",C_0805_2012Metric,21,0.1uF,
"C302, C304, C306, C307",C_0805_2012Metric,4,1uF,
"D501, D502, D503, D504, D505, D506, D507, D508, D601, D602, D603, D604, D605, D606, D607, D608",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,16,WS2812B,
"R201, R202, R301, R302, R303, R304, R305, R306",R_0805_2012Metric,8,10k,
U301,AMS_LGA-20_4.7x4.5mm_P0.65mm,1,AS72651,
U302,AMS_LGA-20_4.7x4.5mm_P0.65mm,1,AS72652,
U303,AMS_LGA-20_4.7x4.5mm_P0.65mm,1,AS72653,
U304,SOIC-8_3.9x4.9mm_P1.27mm,1,AT25SF041B-SSHD-B,
U401,WSOF6,1,BH1730,
